697843, '/news-updates/news/2013/dec/msm-research', 'news'
567846, '/news-updates/news/2011/mar/fraud', 'news'
701880,/news-updates/allergy-news/2014/jan/asda-cookies,NewsDocument,eng
701206,/news-updates/allergy-news/2014/jan/harrods-coins,NewsDocument,eng
699730,/news-updates/allergy-news/2014/jan/marks-and-spencer-curry,NewsDocument,eng
700568,/news-updates/allergy-news/2014/jan/sainsburys-cakeslices,NewsDocument,eng
701766,/news-updates/allergy-news/2014/jan/shazans-burgers,NewsDocument,eng
716938,/news-updates/allergy-news/2014/jun/blackfriars-flapjacks,NewsDocument,eng
716075,/news-updates/allergy-news/2014/jun/dillywolf-snacks,NewsDocument,eng
716054,/news-updates/allergy-news/2014/jun/marybake-muffins,NewsDocument,eng
716436,/news-updates/allergy-news/2014/jun/tesco-caesarsalad,NewsDocument,eng
715539,/news-updates/allergy-news/2014/jun/wrapid-fajita-recall,NewsDocument,eng
708168,/news-updates/allergy-news/2014/mar/kettle-chips,NewsDocument,eng
707067,/news-updates/allergy-news/2014/mar/mazza-sweets,NewsDocument,eng
707929,/news-updates/allergy-news/2014/mar/milk,NewsDocument,eng
711909,/news-updates/allergy-news/2014/may/lentil-dahl,NewsDocument,eng
711899,/news-updates/allergy-news/2014/may/slimfast,NewsDocument,eng
713774,/news-updates/allergy-news/2014/may/tandoori-chicken,NewsDocument,eng
712304,/news-updates/allergy-news/2014/may/uncle-bens,NewsDocument,eng
706704,/news-updates/news/2014/mar/acaf-meet-26-feb-04,NewsDocument,eng
707513,/news-updates/news/2014/mar/allergy-research,NewsDocument,eng
706087,/news-updates/news/2014/mar/board-meeting,NewsDocument,eng
705772,/news-updates/news/2014/mar/colours,NewsDocument,eng
707025,/news-updates/news/2014/mar/cot-response,NewsDocument,eng
706487,/news-updates/news/2014/mar/gacs-meeting,NewsDocument,eng
708142,/news-updates/news/2014/mar/goats-milk,NewsDocument,eng
707780,/news-updates/news/2014/mar/norovirus,NewsDocument,eng
706580,/news-updates/news/2014/mar/novel-food-ingredient,NewsDocument,eng
707835,/news-updates/news/2014/mar/pig-inspection-consultation,NewsDocument,eng
706736,/news-updates/news/2014/mar/raw-milk,NewsDocument,eng
708317,/news-updates/news/2014/mar/raw-milk-event,NewsDocument,eng
706053,/news-updates/news/2014/mar/sci-adviser,NewsDocument,eng
714656,/news-updates/news/2014/may/acaf-meet-9may14,NewsDocument,eng
712000,/news-updates/news/2014/may/board,NewsDocument,eng
714812,/news-updates/news/2014/may/combs-extract,NewsDocument,eng
713828,/news-updates/news/2014/may/dihydrocapsiate,NewsDocument,eng
712065,/news-updates/news/2014/may/feed-code-of-practice,NewsDocument,eng
713054,/news-updates/news/2014/may/glitter-and-dust,NewsDocument,eng
713823,/news-updates/news/2014/may/isomalto-oligosaccharide,NewsDocument,eng
714632,/news-updates/news/2014/may/myhaccp,NewsDocument,eng
711815,/news-updates/news/2014/may/novel,NewsDocument,eng
711831,/news-updates/news/2014/may/prosecution,NewsDocument,eng
712591,/news-updates/news/2014/may/spirit-drinks-industry-guide,NewsDocument,eng
712760,/news-updates/news/2014/may/survey,NewsDocument,eng
700945,/news-updates/recalls-news/2014/jan/jelly-mini-cups,NewsDocument,eng
715992,/news-updates/recalls-news/2014/jun/nisa-water,NewsDocument,eng
715920,/news-updates/recalls-news/2014/jun/sainsburys-olives,NewsDocument,eng
706687,/news-updates/recalls-news/2014/mar/morrisons,NewsDocument,eng
712651,/news-updates/recalls-news/2014/may/plum-baby-foods,NewsDocument,eng
712683,/news-updates/recalls-news/2014/may/sainsburys-olives,NewsDocument,eng
714874,/news-updates/recalls-news/2014/may/salmon,NewsDocument,eng
699986,/northern-ireland/news-updates/news/2014/jan/food-labelling-invitation,NewsDocument,eng
716198,/northern-ireland/news-updates/news/2014/jun/fsw,NewsDocument,eng
708044,/northern-ireland/news-updates/news/2014/mar/reports-pub-2013ni,NewsDocument,eng
714729,/northern-ireland/news-updates/news/2014/may/nifac-recruiting,NewsDocument,eng
665682,/northern-ireland/news-updates/recalls-news/2013/apr/kingshill,NewsDocument,eng
677646,/northern-ireland/news-updates/recalls-news/2013/jul/island-salads,NewsDocument,eng
708271,/scotland/news-updates/news/2014/mar/campy-research-call,NewsDocument,eng
707508,/scotland/news-updates/news/2014/mar/childrens-conf,NewsDocument,eng
706322,/scotland/news-updates/news/2014/mar/sfac,NewsDocument,eng
708259,/scotland/news-updates/news/2014/mar/study,NewsDocument,eng
714505,/scotland/news-updates/news/2014/may/sfac3june14,NewsDocument,eng
712424,/scotland/news-updates/news/2014/may/shellfish-toxin-guidance,NewsDocument,eng
625142,/wales/about-fsa-wales/cymru/newyddiondatgan/newyddion/datganiadau/2011/ion/adroddiadabertawe,NewsDocument,eng
625138,/wales/about-fsa-wales/cymru/newyddiondatgan/newyddion/datganiadau/2011/ion/adroddiadtorfaen,NewsDocument,eng
625162,/wales/about-fsa-wales/cymru/newyddiondatgan/newyddion/datganiadau/2011/maw/adroddiadblaenaugwent,NewsDocument,eng
625098,/wales/about-fsa-wales/cymru/newyddiondatgan/newyddion/datganiadau/2011/rha/ymchwilcshb,NewsDocument,eng
625094,/wales/about-fsa-wales/cymru/newyddiondatgan/newyddion/datganiadau/2011/tac/prllysiau,NewsDocument,eng
